series,race,seed,mode,style,driver,totalRaceTime,fastestLap,pitStops,finalTyre
STYLE,Race3,14,AGENTS,Conservative,Antonelli,3671.830,91.227,10,MediumTyre
STYLE,Race3,15,AGENTS,Aggressive,Antonelli,3659.389,90.618,4,MediumTyre
STYLE,Race3,15,AGENTS,Balanced,Antonelli,3671.920,90.938,5,IntermediateTyre
STYLE,Race3,15,AGENTS,Conservative,Antonelli,3701.311,91.441,1,IntermediateTyre
STYLE,Race3,16,AGENTS,Aggressive,Antonelli,3674.200,90.592,5,IntermediateTyre
STYLE,Race3,16,AGENTS,Balanced,Antonelli,3680.979,90.807,5,IntermediateTyre
STYLE,Race3,16,AGENTS,Conservative,Antonelli,3682.992,91.010,3,IntermediateTyre
STYLE,Race3,17,AGENTS,Aggressive,Antonelli,3662.464,90.491,2,MediumTyre
STYLE,Race3,17,AGENTS,Balanced,Antonelli,3666.538,90.641,7,MediumTyre
STYLE,Race3,17,AGENTS,Conservative,Antonelli,3676.210,91.010,5,MediumTyre
STYLE,Race3,18,AGENTS,Aggressive,Antonelli,3657.685,90.436,5,MediumTyre
STYLE,Race3,18,AGENTS,Balanced,Antonelli,3669.789,90.717,4,MediumTyre
STYLE,Race3,18,AGENTS,Conservative,Antonelli,3676.032,90.956,5,IntermediateTyre
STYLE,Race3,19,AGENTS,Aggressive,Antonelli,3665.756,90.709,2,MediumTyre
STYLE,Race3,19,AGENTS,Balanced,Antonelli,3669.284,90.675,7,MediumTyre
STYLE,Race3,19,AGENTS,Conservative,Antonelli,3675.043,91.070,6,MediumTyre
STYLE,Race3,20,AGENTS,Aggressive,Antonelli,3653.225,90.310,6,IntermediateTyre
STYLE,Race3,20,AGENTS,Balanced,Antonelli,3666.263,90.713,3,IntermediateTyre
STYLE,Race3,20,AGENTS,Conservative,Antonelli,3673.373,90.993,9,IntermediateTyre
SINGLE,Race1,1,AGENTS,Balanced,Verstappen,4799.382,89.734,6,IntermediateTyre
